Periodo,Regional,Cod_Dep,Departamento,Tipo,Cod_Mun,Municipio,Remates
04/01/2016 12:00:00 AM,CARIBE,70,SUCRE,CAPITAL DEPARTAMENTO,70001,SINCELEJO,2
04/01/2016 12:00:00 AM,CARIBE,70,SUCRE,RESTO DEPARTAMENTO,,,0
04/01/2016 12:00:00 AM,CARIBE,88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",CAPITAL DEPARTAMENTO,88001,SAN ANDRÉS,0
04/01/2016 12:00:00 AM,CENTRAL,11,"BOGOTÁ, D.C.",CAPITAL DEPARTAMENTO,11001,"BOGOTÁ, D.C.",63
04/01/2016 12:00:00 AM,CENTRAL,15,BOYACÁ,CAPITAL DEPARTAMENTO,15001,TUNJA,3
04/01/2016 12:00:00 AM,CENTRAL,15,BOYACÁ,RESTO DEPARTAMENTO,,,8
04/01/2016 12:00:00 AM,CENTRAL,25,CUNDINAMARCA,RESTO DEPARTAMENTO,,,20
04/01/2016 12:00:00 AM,CENTRAL,41,HUILA,CAPITAL DEPARTAMENTO,41001,NEIVA,3
04/01/2016 12:00:00 AM,CENTRAL,41,HUILA,RESTO DEPARTAMENTO,,,4
04/01/2016 12:00:00 AM,CENTRAL,54,NORTE DE SANTANDER,CAPITAL DEPARTAMENTO,54001,SAN JOSÉ DE CÚCUTA,10
04/01/2016 12:00:00 AM,CENTRAL,54,NORTE DE SANTANDER,RESTO DEPARTAMENTO,,,2
04/01/2016 12:00:00 AM,CENTRAL,68,SANTANDER,CAPITAL DEPARTAMENTO,68001,BUCARAMANGA,8
04/01/2016 12:00:00 AM,CENTRAL,68,SANTANDER,RESTO DEPARTAMENTO,,,11
04/01/2016 12:00:00 AM,CENTRAL,73,TOLIMA,CAPITAL DEPARTAMENTO,73001,IBAGUÉ,8
04/01/2016 12:00:00 AM,CENTRAL,73,TOLIMA,RESTO DEPARTAMENTO,,,4
04/01/2016 12:00:00 AM,ORINOQUIA,18,CAQUETÁ,CAPITAL DEPARTAMENTO,18001,FLORENCIA,2
